---,Actor,Location,Rotation,Scale,Meshes
Row_20,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-41445.864788,Y=-75482.573397,Z=-947.281210)","(Pitch=-6.059630,Yaw=152.694985,Roll=-24.481057)","(X=-2.949271,Y=2.603397,Z=2.949271)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/S_Beach_Cliff_wdqiedw_lod0_Var1.S_Beach_Cliff_wdqiedw_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/MI_UnifiedCliff_Beach_Cliff""')))"
Row_21,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-39739.056318,Y=-76024.608380,Z=-933.652227)","(Pitch=-7.053866,Yaw=159.823278,Roll=-18.407089)","(X=2.949271,Y=2.949271,Z=2.949271)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/S_Beach_Cliff_wdqiedw_lod0_Var1.S_Beach_Cliff_wdqiedw_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/MI_UnifiedCliff_Beach_Cliff""')))"
Row_22,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-46825.582305,Y=-69743.193135,Z=1400.000000)","(Pitch=0.000000,Yaw=27.325815,Roll=0.000000)","(X=2.528989,Y=3.261056,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_23,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-45311.545972,Y=-72855.003635,Z=1400.000000)","(Pitch=0.000000,Yaw=52.296632,Roll=0.000000)","(X=2.890897,Y=2.522684,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_24,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-36725.947969,Y=-76824.285889,Z=-445.160315)","(Pitch=6.377750,Yaw=-10.288600,Roll=-69.688467)","(X=9.121181,Y=9.121181,Z=10.253242)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_25,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-42104.434125,Y=-74565.899106,Z=225.195484)","(Pitch=-2.764416,Yaw=-38.051425,Roll=-62.808636)","(X=4.928346,Y=6.014484,Z=8.081517)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_26,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-45655.797181,Y=-72408.468068,Z=62.184631)","(Pitch=15.138228,Yaw=-31.471550,Roll=-47.790651)","(X=7.949906,Y=7.054148,Z=9.121181)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_27,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-44213.690849,Y=-73163.546755,Z=270.855236)","(Pitch=12.071054,Yaw=-11.931724,Roll=-55.575037)","(X=7.949906,Y=5.551245,Z=9.121181)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_28,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-43639.392810,Y=-73324.105434,Z=-36.596663)","(Pitch=8.138286,Yaw=-15.974959,Roll=-59.526811)","(X=9.121181,Y=9.121181,Z=9.121181)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_29,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-40676.634612,Y=-75497.371178,Z=108.951028)","(Pitch=7.959886,Yaw=-19.105084,Roll=-55.175474)","(X=9.121181,Y=9.121181,Z=9.121181)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_30,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=124102.545727,Y=29135.530663,Z=3758.000000)","(Pitch=0.000000,Yaw=-190.741935,Roll=0.000000)","(X=4.606928,Y=1.273876,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_31,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=123423.897488,Y=29686.475071,Z=3034.504271)","(Pitch=-1.489329,Yaw=-66.992795,Roll=447.519144)","(X=3.519500,Y=2.660546,Z=4.003405)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_32,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-42911.388189,Y=-74027.866581,Z=1400.000000)","(Pitch=0.000000,Yaw=40.273274,Roll=0.000000)","(X=3.686115,Y=1.955904,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_33,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=124457.125162,Y=28749.016954,Z=3122.504271)","(Pitch=55.390450,Yaw=-251.813876,Roll=496.727700)","(X=3.399492,Y=2.911123,Z=2.793906)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_34,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=123733.876237,Y=28934.786647,Z=2999.504271)","(Pitch=-41.688582,Yaw=-86.896057,Roll=249.427941)","(X=4.276966,Y=3.959271,Z=3.113688)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_35,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=46228.545727,Y=125240.530663,Z=948.000000)","(Pitch=0.000000,Yaw=-224.434383,Roll=0.000000)","(X=4.628051,Y=1.320485,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_36,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-40842.388189,Y=-75040.866581,Z=1400.000000)","(Pitch=0.000000,Yaw=245.087376,Roll=0.000000)","(X=3.505861,Y=1.738248,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_37,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-36699.582305,Y=-76811.193135,Z=1400.000000)","(Pitch=0.000000,Yaw=65.573689,Roll=0.000000)","(X=1.613732,Y=0.852179,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_38,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=45528.920056,Y=126035.218638,Z=405.504271)","(Pitch=-1.489329,Yaw=-54.085991,Roll=447.519144)","(X=3.519500,Y=2.660546,Z=4.003405)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_39,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-37023.860555,Y=-76871.317998,Z=-359.455139)","(Pitch=15.577681,Yaw=76.411212,Roll=61.607708)","(X=2.985724,Y=2.985724,Z=2.985724)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_40,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-38589.461838,Y=-76411.894897,Z=50.550871)","(Pitch=2.519908,Yaw=-15.051768,Roll=-72.621582)","(X=5.154882,Y=6.756944,Z=9.121181)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1.S_Forest_Rock_Shelf_wgpqfjl_lod0_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Forest_Rock_Shelf_wgpqfjl/MI_UnifiedRock_ForestRock""')))"
Row_41,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-39830.208518,Y=-76112.929613,Z=-350.495729)","(Pitch=15.577681,Yaw=76.411212,Roll=61.607708)","(X=2.985724,Y=2.985724,Z=2.985724)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_42,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=46454.589479,Y=125967.820638,Z=198.504271)","(Pitch=-1.263730,Yaw=-124.715556,Roll=461.374605)","(X=3.399492,Y=2.911123,Z=2.793906)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_43,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-35145.092531,Y=-77710.102008,Z=1400.000000)","(Pitch=0.000000,Yaw=72.955486,Roll=0.000000)","(X=1.741758,Y=3.014023,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
Row_44,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=45998.968625,Y=125371.760535,Z=370.504271)","(Pitch=-41.688582,Yaw=-73.989253,Roll=249.427941)","(X=4.276966,Y=3.959271,Z=3.113688)","((StaticMesh=/Script/Engine.StaticMesh'/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/SM_MountainRock_Closed.SM_MountainRock_Closed'',Materials=(MaterialInstanceConstant'""/Game/KiteDemo/Environments/Rocks/Mountain_RockFace_002/M_RockUnified_MountainRockClosed""')))"
Row_45,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-39560.582305,Y=-76081.193135,Z=1400.000000)","(Pitch=0.000000,Yaw=132.805209,Roll=0.000000)","(X=3.144051,Y=0.986722,Z=3.014023)","((StaticMesh=/Script/Engine.StaticMesh'/Game/ManorLords/Testing/cliffMaskTest.cliffMaskTest'',Materials=(Material'""/Game/ManorLords/Testing/M_RVTO_Cliff""')))"
